epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,99.7141,0.98524,0.60471,0.98335,0.77939,0.90495,0.88965,0.59329,1.14092,0.65809,1.11341,0.000576755,0.000576755,0.000576755
43,101.861,0.92115,0.57909,0.96317,0.90589,0.89164,0.9281,0.61821,1.08872,0.63113,1.08181,0.000574554,0.000574554,0.000574554
44,103.983,0.95888,0.60113,0.99373,0.84198,0.89645,0.92403,0.59835,1.10229,0.6275,1.08717,0.000572353,0.000572353,0.000572353
45,106.088,1.00632,0.61723,0.98348,0.86495,0.86139,0.88985,0.60693,1.11936,0.66425,1.09402,0.000570152,0.000570152,0.000570152
46,108.208,0.98523,0.59573,1.02499,0.8466,0.88351,0.87534,0.56795,1.16981,0.64241,1.13305,0.00056795,0.00056795,0.00056795
47,110.327,0.92096,0.56574,0.94934,0.93519,0.78946,0.93117,0.62637,1.06405,0.61398,1.10488,0.000565749,0.000565749,0.000565749
48,112.471,0.98151,0.63008,0.98227,0.91131,0.86699,0.93638,0.6493,1.14586,0.64021,1.1052,0.000563548,0.000563548,0.000563548
49,114.613,0.97939,0.62118,0.9663,0.67353,0.92392,0.8825,0.61836,1.16805,0.68403,1.12928,0.000561347,0.000561347,0.000561347
50,116.725,0.93266,0.60199,0.961,0.78361,0.85577,0.87303,0.60774,1.13531,0.6738,1.11244,0.000559146,0.000559146,0.000559146
51,118.841,0.94901,0.57811,0.96184,0.79685,0.88652,0.90331,0.60735,1.17529,0.61775,1.13854,0.000556945,0.000556945,0.000556945
52,120.957,0.92917,0.58569,0.94872,0.81129,0.92147,0.87491,0.60107,1.18212,0.61865,1.14512,0.000554744,0.000554744,0.000554744
53,123.075,0.92552,0.56776,0.94403,0.80835,0.89159,0.85128,0.61056,1.06693,0.6417,1.08559,0.000552543,0.000552543,0.000552543
54,125.186,0.91592,0.57059,0.95774,0.81818,0.96451,0.90804,0.64946,1.06786,0.6174,1.08972,0.000550342,0.000550342,0.000550342
55,127.329,0.90809,0.57665,0.95406,0.86694,0.86665,0.90493,0.6608,1.0793,0.59862,1.09217,0.000548141,0.000548141,0.000548141
56,129.491,0.86799,0.55378,0.92392,0.77612,0.94792,0.92747,0.66151,1.06475,0.57511,1.10007,0.00054594,0.00054594,0.00054594
57,131.632,0.86377,0.55262,0.94215,0.77762,0.87991,0.92535,0.68179,1.03449,0.57061,1.08576,0.000543738,0.000543738,0.000543738
58,133.769,0.8861,0.54007,0.92834,0.84209,0.87714,0.88707,0.63816,1.00666,0.57834,1.06151,0.000541537,0.000541537,0.000541537
59,135.885,0.87309,0.5524,0.9416,0.764,0.96844,0.91291,0.66264,0.99746,0.5917,1.07246,0.000539336,0.000539336,0.000539336
60,138.011,0.87716,0.54914,0.94097,0.8368,0.94669,0.95998,0.6564,1.05566,0.60009,1.07866,0.000537135,0.000537135,0.000537135
61,140.122,0.86117,0.5449,0.91171,0.70923,0.98718,0.90801,0.60388,1.05336,0.58736,1.11092,0.000534934,0.000534934,0.000534934
62,142.242,0.86776,0.56222,0.9529,0.90431,0.81058,0.95446,0.64637,1.08569,0.62539,1.10263,0.000532733,0.000532733,0.000532733
63,144.35,0.88951,0.52983,0.93734,0.83681,0.81228,0.90314,0.63779,1.06803,0.61201,1.10502,0.000530532,0.000530532,0.000530532
64,146.474,0.88651,0.54968,0.95145,0.80987,0.95068,0.96616,0.64979,1.0414,0.56343,1.09755,0.000528331,0.000528331,0.000528331
65,148.583,0.88128,0.53958,0.94878,0.79498,0.86218,0.91326,0.64291,1.05226,0.61942,1.07451,0.00052613,0.00052613,0.00052613
